PROVINCIA,DISTRITO,NIVEL_ACESSO_CUIDADOS_PRIMARIOS,NIVEL_ACESSO_HOSPITAL,NIVEL_ACESSO_EDUCACAO,NIVEL_DE_PRECOS,NIVEL_DE_VEGETACAO,NIVEL_DE_PRECIPITACAO,NIVEL_SEGURANCA_CIVIS,NIVEL_MANIFESTACOES,NIVEL_VIOLENCIA_POLITICA,NIVEL_PRE_NATAL,NIVEL_SEM_PRE_NATAL,NIVEL_PARTO_UNIDADE,NIVEL_PARTO_ASSISTIDO,NIVEL_POS_NATAL_MAE,NIVEL_POS_NATAL_BEBE,NIVEL_TRATAMENTO_DIARREIA,NIVEL_MULHERES_ENSINO,NIVEL_HOMENS_ENSINO,NIVEL_MULHERES_ALFABETIZADAS,NIVEL_HOMENS_ALFABETIZADOS,NIVEL_MULHERES_ANALFABETAS,NIVEL_HOMENS_ANALFABETAS,NIVEL_ACESSO_AEREO,NIVEL_FONTE_MELHORADA,NIVEL_AGUA_CANALIZADA,NIVEL_AGUA_NO_DOMICILIO,NIVEL_TRATAMENTO_ADEQUADO,NIVEL_FONTE_NAO_MELHORADA,NIVEL_RENDIMENTO,NIVEL_CHOQUE_PRECO_ALIMENTOS,NIVEL_CHOQUE_PRECO_COMBUSTIVEL,NIVEL_CHOQUE_PERDA_EMPREGO,NIVEL_CHOQUE_SECA,NIVEL_CHOQUE_CHEIAS,NIVEL_CHOQUE_DOENCA_MORTE,NIVEL_NECESSIDADE_ALIMENTOS,NIVEL_NECESSIDADE_DINHEIRO,NIVEL_DE_POBREZA
Cabo Delgado,Montepuez,Muito Alto,Muito Alto,Alto,Muito Alto,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Mueda,Muito Alto,Alto,Alto,Baixo,Baixa,Baixo,Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Muidumbe,Alto,Médio,Baixo,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Namuno,Médio,Baixo,Muito Baixo,Baixo,Baixa,Muito Baixo,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Nangade,Alto,Baixo,Baixo,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Palma,Muito Alto,Muito Alto,Médio,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Cabo Delgado,Quissanga,Médio,Médio,Alto,Baixo,Muito Baixa,Muito Baixo,Muito Baixo,Muito Alto,Muito Baixo,Médio,Alto,Muito Baixo,Muito Baixo,Baixo,Baixo,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Baixo,Alto,Médio,Alto,Baixo,Médio,Alto,Baixo,Baixo,Muito Baixo,Baixo,Muito Alto,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Alta
Gaza,Bilene,Baixo,Baixo,Muito Baixo,Alto,Média,Baixo,Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Chibuto,Muito Alto,Médio,Alto,Muito Baixo,Muito Baixa,Muito Baixo,Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Chicualacuala,Muito Baixo,Alto,Médio,Alto,Muito Alta,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Chigubo,Muito Baixo,Alto,Médio,Alto,Alta,Médio,Muito Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Chokwe,Alto,Alto,Alto,Alto,Baixa,Muito Alto,Médio,Muito Alto,Médio,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Chongoene,Baixo,Alto,Médio,Alto,Alta,Médio,Médio,Muito Alto,Médio,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Cidade De Xai-Xai,Baixo,Muito Alto,Muito Alto,Baixo,Alta,Alto,Médio,Muito Alto,Médio,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Guija,Médio,Alto,Médio,Alto,Alta,Muito Alto,Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Limpopo,Muito Baixo,Médio,Médio,Alto,Muito Alta,Muito Alto,Muito Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Mabalane,Muito Baixo,Muito Baixo,Médio,Alto,Muito Alta,Médio,Alto,Muito Alto,Médio,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Mandlakaze,Muito Baixo,Alto,Médio,Alto,Muito Baixa,Médio,Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Mapai,Muito Baixo,Alto,Médio,Muito Baixo,Alta,Muito Alto,Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Massangena,Muito Baixo,Alto,Médio,Muito Alto,Média,Baixo,Alto,Muito Alto,Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Gaza,Massingir,Muito Baixo,Muito Baixo,Médio,Alto,Muito Alta,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Alto,Alto,Alto,Alto,Muito Alto,Muito Alto,Baixo,Médio,Alto,Alto,Médio,Muito Alto,Médio,Médio,Alto,Muito Baixo,Alto,Muito Baixo,Muito Alto,Muito Baixo,Muito Alto,Muito Baixo,Alto,Muito Baixo,Médio,Baixo,Médio,Muito Alto,Muito Baixa
Inhambane,Cidade De Inhambane,Muito Alto,Muito Alto,Muito Alto,Alto,Alta,Muito Alto,Baixo,Muito Alto,Baixo,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Funhalouro,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixa,Alto,Alto,Muito Alto,Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Govuro,Muito Baixo,Baixo,Muito Baixo,Baixo,Média,Médio,Muito Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Homoine,Médio,Alto,Baixo,Muito Baixo,Alta,Muito Alto,Alto,Muito Alto,Médio,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Inharrime,Alto,Alto,Alto,Muito Baixo,Alta,Muito Alto,Médio,Muito Alto,Médio,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Inhassoro,Muito Baixo,Muito Alto,Alto,Médio,Muito Alta,Muito Alto,Alto,Muito Alto,Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Jangamo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixa,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Mabote,Médio,Baixo,Baixo,Muito Baixo,Muito Alta,Muito Alto,Muito Alto,Muito Alto,Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Massinga,Médio,Muito Baixo,Baixo,Baixo,Média,Alto,Médio,Muito Alto,Médio,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Maxixe,Muito Alto,Médio,Muito Alto,Médio,Alta,Médio,Médio,Muito Alto,Médio,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Morrumbene,Médio,Baixo,Médio,Muito Baixo,Alta,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Panda,Muito Baixo,Baixo,Muito Alto,Baixo,Muito Alta,Alto,Muito Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Vilankulo,Muito Baixo,Muito Alto,Muito Alto,Muito Baixo,Baixa,Alto,Alto,Muito Alto,Alto,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Inhambane,Zavala,Muito Baixo,Alto,Baixo,Muito Baixo,Média,Médio,Alto,Muito Alto,Médio,Alto,Muito Alto,Alto,Alto,Médio,Médio,Muito Baixo,Alto,Médio,Alto,Médio,Alto,Alto,Alto,Alto,Médio,Alto,Baixo,Médio,Muito Baixo,Muito Alto,Alto,Médio,Baixo,Baixo,Médio,Baixo,Muito Alto,Baixa
Manica,Barue,Alto,Muito Alto,Muito Alto,Muito Baixo,Muito Baixa,Muito Baixo,Médio,Muito Alto,Baixo,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Cidade De Chimoio,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Muito Baixa,Muito Baixo,Baixo,Muito Alto,Baixo,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Gondola,Alto,Médio,Alto,Médio,Muito Baixa,Muito Baixo,Baixo,Muito Alto,Muito Baixo,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Guro,Muito Alto,Muito Baixo,Muito Baixo,Baixo,Muito Baixa,Muito Baixo,Muito Alto,Muito Alto,Alto,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Macate,Muito Baixo,Médio,Baixo,Baixo,Muito Baixa,Muito Baixo,Alto,Muito Alto,Alto,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Machaze,Baixo,Médio,Muito Alto,Baixo,Muito Baixa,Muito Baixo,Muito Alto,Muito Alto,Muito Alto,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Macossa,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Muito Baixa,Muito Baixo,Alto,Muito Alto,Alto,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Manica,Alto,Alto,Muito Alto,Baixo,Muito Baixa,Muito Baixo,Médio,Muito Alto,Médio,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Mossurize,Baixo,Baixo,Muito Baixo,Muito Alto,Muito Baixa,Muito Baixo,Médio,Muito Alto,Médio,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Sussundenga,Muito Baixo,Médio,Médio,Baixo,Muito Baixa,Muito Baixo,Alto,Muito Alto,Baixo,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
Manica,Tambara,Baixo,Médio,Muito Alto,Baixo,Muito Baixa,Muito Baixo,Alto,Muito Alto,Alto,Baixo,Médio,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Baixo,Médio,Médio,Alto,Alto,Muito Alto,Alto,Baixo,Médio,Médio,Alto,Baixo,Alto,Alto,Muito Alto,Muito Alto,Alto,Muito Alto,Alto,Muito Alto,Muito Alto,Baixa
