adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_version,lang,lang1,lang2,lang3,adm0_en,adm2_ref_name,center_lat,center_lon
Magoe,,,,MZ1009,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,8553.161225,V_01,pt,,,,Mozambique,Magoe,-16.01940202,31.72035827
Magude,,,,MZ0503,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,6965.632593,V_01,pt,,,,Mozambique,Magude,-24.75921463,32.43831848
Majune,,,,MZ0808,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,11297.7041,V_01,pt,,,,Mozambique,Majune,-13.32889169,36.4548857
Malema,,,,MZ0708,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,6052.902043,V_01,pt,,,,Mozambique,Malema,-14.73545906,37.36646069
Mandimba,,,,MZ0809,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,4680.20462,V_01,pt,,,,Mozambique,Mandimba,-14.23023349,35.88069575
Mandlakaze,,,,MZ0211,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,2988.044283,V_01,pt,,,,Mozambique,Mandlakaze,-24.53141783,33.98655836
Manhiça,,,,MZ0504,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,2365.566164,V_01,pt,,,,Mozambique,Manhica,-25.28893791,32.8827903
Manica,,,,MZ0408,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,2533.68437,V_01,pt,,,,Mozambique,Manica,-18.78075508,33.01611142
Mapai,,,,MZ0212,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,11601.4855,V_01,pt,,,,Mozambique,Mapai,-22.6245121,32.48571191
Maquival,,,,MZ1112,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,617.4011487,V_01,pt,,,,Mozambique,Maquival,-17.82502675,37.04972572
Marara,,,,MZ1010,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,2715.854019,V_01,pt,,,,Mozambique,Marara,-16.05397773,33.16779296
Maravia,,,,MZ1011,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,16704.6608,V_01,pt,,,,Mozambique,Maravia,-15.02324493,32.03968926
Maringue,,,,MZ0910,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,6149.762808,V_01,pt,,,,Mozambique,Maringue,-17.81445636,34.49703906
Marracuene,,,,MZ0505,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,697.0910617,V_01,pt,,,,Mozambique,Marracuene,-25.68068181,32.67190892
Marromeu,,,,MZ0911,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,5752.839537,V_01,pt,,,,Mozambique,Marromeu,-18.40446407,35.75310849
Marrupa,,,,MZ0810,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,17454.78506,V_01,pt,,,,Mozambique,Marrupa,-13.03969835,37.32178011
Massangena,,,,MZ0213,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,7544.553575,V_01,pt,,,,Mozambique,Massangena,-21.75089441,32.59011611
Massinga,,,,MZ0309,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,7407.988515,V_01,pt,,,,Mozambique,Massinga,-22.84631848,35.08693909
Massingir,,,,MZ0214,Gaza,,,,MZ02,Moçambique,,,,MZ,07/06/19,,5684.240607,V_01,pt,,,,Mozambique,Massingir,-23.78703779,32.06159876
Matutuine,,,,MZ0506,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,5341.805546,V_01,pt,,,,Mozambique,Matutuine,-26.45114601,32.58832886
Maua,,,,MZ0811,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,8046.536531,V_01,pt,,,,Mozambique,Maua,-13.89955779,36.85247908
Mavago,,,,MZ0812,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,9194.609251,V_01,pt,,,,Mozambique,Mavago,-12.16685524,36.30785392
Maxixe,,,,MZ0310,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,267.7408017,V_01,pt,,,,Mozambique,Maxixe,-23.87139233,35.30300801
Mecanhelas,,,,MZ0813,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,5011.005818,V_01,pt,,,,Mozambique,Mecanhelas,-14.93805323,36.12093365
Meconta,,,,MZ0709,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3677.179277,V_01,pt,,,,Mozambique,Meconta,-15.25237428,39.65904006
Mecuburi,,,,MZ0710,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,7189.474053,V_01,pt,,,,Mozambique,Mecuburi,-14.4508035,38.91100451
Mecufi,,,,MZ0107,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,1234.86516,V_01,pt,,,,Mozambique,Mecufi,-13.26425222,40.383512
Mecula,,,,MZ0814,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,18015.4505,V_01,pt,,,,Mozambique,Mecula,-11.96954792,37.58254396
Meluco,,,,MZ0108,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,5728.947497,V_01,pt,,,,Mozambique,Meluco,-12.46125497,39.70103186
Memba,,,,MZ0711,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,4449.595203,V_01,pt,,,,Mozambique,Memba,-13.96617481,40.32315279
Metarica,,,,MZ0815,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,4859.357994,V_01,pt,,,,Mozambique,Metarica,-14.33112104,36.97156473
Metuge,,,,MZ0109,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,1588.34077,V_01,pt,,,,Mozambique,Metuge,-12.92270216,40.25105889
Milange,,,,MZ1113,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,5504.259136,V_01,pt,,,,Mozambique,Milange,-16.2308736,35.75375941
Moamba,,,,MZ0507,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,4579.903134,V_01,pt,,,,Mozambique,Moamba,-25.32598612,32.31689199
Moatize,,,,MZ1012,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,8432.134642,V_01,pt,,,,Mozambique,Moatize,-16.01386254,33.9153229
Mocimboa Da Praia,,,,MZ0110,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,3473.172057,V_01,pt,,,,Mozambique,Mocimboa Da Praia,-11.40386427,40.13622181
Mocuba,,,,MZ1114,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,8772.250128,V_01,pt,,,,Mozambique,Mocuba,-16.85196948,36.87823142
Mocubela,,,,MZ1115,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,4760.796466,V_01,pt,,,,Mozambique,Mocubela,-17.00633984,37.66126935
Mogincual,,,,MZ0712,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,2283.076496,V_01,pt,,,,Mozambique,Mogincual,-15.43073945,40.06943654
Mogovolas,,,,MZ0713,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,4710.889288,V_01,pt,,,,Mozambique,Mogovolas,-15.72423365,39.30138729
Molumbo,,,,MZ1116,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,4319.745005,V_01,pt,,,,Mozambique,Molumbo,-15.68256644,36.19548526
Moma,,,,MZ0714,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3910.387931,V_01,pt,,,,Mozambique,Moma,-16.3967229,39.16898926
Monapo,,,,MZ0715,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3515.010614,V_01,pt,,,,Mozambique,Monapo,-14.80784473,40.11905526
Montepuez,,,,MZ0111,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,17805.08328,V_01,pt,,,,Mozambique,Montepuez,-12.62452819,38.58900665
Mopeia,,,,MZ1117,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,7656.656841,V_01,pt,,,,Mozambique,Mopeia,-17.86796297,36.05305474
Morrumbala,,,,MZ1118,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,8035.432027,V_01,pt,,,,Mozambique,Morrumbala,-17.00541977,35.5810499
Morrumbene,,,,MZ0311,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,2578.695501,V_01,pt,,,,Mozambique,Morrumbene,-23.42183231,34.93394919
Mossuril,,,,MZ0716,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3380.599333,V_01,pt,,,,Mozambique,Mossuril,-15.02141412,40.48306184
Mossurize,,,,MZ0409,Manica,,,,MZ04,Moçambique,,,,MZ,07/06/19,,5022.814115,V_01,pt,,,,Mozambique,Mossurize,-20.47212821,32.95329649
Muanza,,,,MZ0912,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,7509.472122,V_01,pt,,,,Mozambique,Muanza,-19.08651419,35.11319448
Muecate,,,,MZ0717,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,4106.235552,V_01,pt,,,,Mozambique,Muecate,-14.65992473,39.50311694
Mueda,,,,MZ0112,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,11226.14457,V_01,pt,,,,Mozambique,Mueda,-11.56407744,39.14209393
Muembe,,,,MZ0816,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,5801.869107,V_01,pt,,,,Mozambique,Muembe,-12.77786218,35.94486154
Muidumbe,,,,MZ0113,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,2095.762638,V_01,pt,,,,Mozambique,Muidumbe,-11.85343754,39.82792976
Mulevala,,,,MZ1119,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,2700.984909,V_01,pt,,,,Mozambique,Mulevala,-16.37289785,37.59052582
Murrupula,,,,MZ0718,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3093.327868,V_01,pt,,,,Mozambique,Murrupula,-15.41869904,38.60319582
Mutarara,,,,MZ1013,Tete,,,,MZ10,Moçambique,,,,MZ,07/06/19,,2732.240572,V_01,pt,,,,Mozambique,Mutarara,-17.22881784,35.12361074
Nacala,,,,MZ0719,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,319.0463359,V_01,pt,,,,Mozambique,Nacala,-14.54667004,40.71799334
Nacala-A-Velha,,,,MZ0720,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,1133.091121,V_01,pt,,,,Mozambique,Nacala-A-Velha,-14.55625514,40.48364896
Nacaroa,,,,MZ0721,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,2713.813315,V_01,pt,,,,Mozambique,Nacaroa,-14.36192847,39.91796076
Namaacha,,,,MZ0508,Maputo,,,,MZ05,Moçambique,,,,MZ,07/06/19,,2151.608593,V_01,pt,,,,Mozambique,Namaacha,-26.07357934,32.17602035
Namacurra,,,,MZ1120,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,2020.605777,V_01,pt,,,,Mozambique,Namacurra,-17.47266675,37.04264909
Namarroi,,,,MZ1121,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,3060.803959,V_01,pt,,,,Mozambique,Namarroi,-15.86944849,36.7660162
Namuno,,,,MZ0114,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,5980.806965,V_01,pt,,,,Mozambique,Namuno,-13.73754201,38.90907338
Nangade,,,,MZ0115,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,2966.754301,V_01,pt,,,,Mozambique,Nangade,-11.14827574,39.77719274
Ngauma,,,,MZ0817,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,3005.028942,V_01,pt,,,,Mozambique,Ngauma,-13.83282689,35.51418795
Nhamatanda,,,,MZ0913,Sofala,,,,MZ09,Moçambique,,,,MZ,07/06/19,,4015.71345,V_01,pt,,,,Mozambique,Nhamatanda,-19.30528134,34.2460669
Nicoadala,,,,MZ1122,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,2763.4364,V_01,pt,,,,Mozambique,Nicoadala,-17.57301843,36.65683567
Nipepe,,,,MZ0818,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,5000.269152,V_01,pt,,,,Mozambique,Nipepe,-13.90624225,37.85846137
Palma,,,,MZ0116,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,3522.491028,V_01,pt,,,,Mozambique,Palma,-10.86066334,40.29213488
Panda,,,,MZ0312,Inhambane,,,,MZ03,Moçambique,,,,MZ,07/06/19,,6843.274975,V_01,pt,,,,Mozambique,Panda,-24.05715903,34.45701293
Pebane,,,,MZ1123,Zambezia,,,,MZ11,Moçambique,,,,MZ,07/06/19,,10101.81872,V_01,pt,,,,Mozambique,Pebane,-16.70941284,38.51830894
Quissanga,,,,MZ0118,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,07/06/19,,2117.896684,V_01,pt,,,,Mozambique,Quissanga,-12.57602541,40.34025893
Rapale,,,,MZ0722,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,3661.693964,V_01,pt,,,,Mozambique,Rapale,-15.14205281,38.9777337
Ribaue,,,,MZ0723,Nampula,,,,MZ07,Moçambique,,,,MZ,07/06/19,,6248.311765,V_01,pt,,,,Mozambique,Ribaue,-15.01662115,38.20036785
Sanga,,,,MZ0819,Niassa,,,,MZ08,Moçambique,,,,MZ,07/06/19,,12496.05031,V_01,pt,,,,Mozambique,Sanga,-12.28824502,35.47639296
